# Score: min -1029, max 7804, med 2183
# Num steps: min 259, max 1000, med 1000
seed,score,num_steps
7978,1672,1000
7979,796,1000
7980,2986,1000
7981,723,1000
7982,5468,1000
7983,3132,1000
7984,1015,1000
7985,3132,1000
7986,4300,1000
7987,5249,1000
7988,4446,1000
7989,796,938
7990,3424,1000
7991,1088,1000
7992,-226,530
7993,4446,1000
7994,4811,1000
7995,1307,1000
7996,1745,1000
7997,5760,1000
7998,2475,1000
7999,3205,1000
8000,4373,1000
8001,5760,1000
8002,1818,1000
8003,2767,744
8004,5468,1000
8005,2767,1000
8006,1015,1000
8007,723,1000
8008,1745,1000
8009,1964,1000
8010,-7,1000
8011,2767,1000
8012,1964,1000
8013,1964,1000
8014,2548,1000
8015,2767,1000
8016,2402,1000
8017,431,890
8018,1745,769
8019,3424,1000
8020,2402,987
8021,1672,1000
8022,942,1000
8023,285,1000
8024,2621,1000
8025,2402,1000
8026,2110,1000
8027,3935,1000
8028,1964,1000
8029,5176,1000
8030,1672,1000
8031,5030,1000
8032,-226,1000
8033,1088,1000
8034,2548,1000
8035,4008,1000
8036,3935,1000
8037,4081,1000
8038,942,990
8039,-299,1000
8040,7804,1000
8041,1745,1000
8042,2840,1000
8043,3132,1000
8044,4154,1000
8045,1964,944
8046,-445,1000
8047,3789,1000
8048,1964,1000
8049,1380,653
8050,3059,1000
8051,5103,1000
8052,4227,1000
8053,4300,1000
8054,869,1000
8055,2913,1000
8056,2913,1000
8057,139,1000
8058,1526,1000
8059,-372,1000
8060,1234,1000
8061,2986,1000
8062,1599,1000
8063,3132,1000
8064,2475,1000
8065,2913,1000
8066,1088,1000
8067,358,512
8068,1015,663
8069,3643,1000
8070,5249,1000
8071,3424,1000
8072,1745,1000
8073,2475,1000
8074,2329,1000
8075,2402,1000
8076,-883,500
8077,2183,1000
8078,-445,1000
8079,2840,1000
8080,1088,1000
8081,5760,1000
8082,3643,1000
8083,6125,1000
8084,-737,861
8085,2986,1000
8086,1672,1000
8087,2183,1000
8088,2548,1000
8089,1453,682
8090,4665,1000
8091,3424,1000
8092,1745,1000
8093,5395,1000
8094,1307,1000
8095,212,835
8096,2256,1000
8097,650,1000
8098,-226,506
8099,4519,1000
8100,4738,1000
8101,942,1000
8102,5176,1000
8103,6782,1000
8104,2183,1000
8105,1599,1000
8106,3716,1000
8107,-80,554
8108,1818,1000
8109,358,1000
8110,-80,989
8111,4446,1000
8112,2037,1000
8113,-153,872
8114,2037,1000
8115,2621,1000
8116,1526,929
8117,1599,1000
8118,3059,1000
8119,2256,1000
8120,2037,935
8121,3132,1000
8122,942,783
8123,2402,1000
8124,-445,1000
8125,4519,1000
8126,2329,1000
8127,5395,1000
8128,2256,1000
8129,4373,1000
8130,6052,1000
8131,2621,1000
8132,5395,1000
8133,4592,1000
8134,1161,1000
8135,5176,1000
8136,2256,1000
8137,285,624
8138,2621,1000
8139,4227,1000
8140,1964,1000
8141,358,1000
8142,1234,785
8143,2475,1000
8144,1161,1000
8145,4811,1000
8146,2256,1000
8147,796,1000
8148,212,794
8149,212,1000
8150,4446,1000
8151,1964,1000
8152,3059,1000
8153,1453,875
8154,4884,1000
8155,2986,1000
8156,4519,1000
8157,1964,1000
8158,3278,1000
8159,1015,1000
8160,723,749
8161,3132,1000
8162,1818,1000
8163,4811,1000
8164,3570,1000
8165,1088,1000
8166,-153,565
8167,212,1000
8168,3132,1000
8169,7074,1000
8170,4519,1000
8171,1088,1000
8172,1964,1000
8173,-518,418
8174,3862,1000
8175,-518,418
8176,1599,1000
8177,4373,1000
8178,3935,1000
8179,1015,763
8180,650,1000
8181,4519,1000
8182,5030,1000
8183,504,711
8184,1088,1000
8185,2183,1000
8186,4957,1000
8187,1234,1000
8188,3205,1000
8189,3424,1000
8190,723,1000
8191,2256,1000
8192,3862,1000
8193,-299,539
8194,212,1000
8195,3570,1000
8196,1672,1000
8197,2402,1000
8198,1380,1000
8199,2402,1000
8200,1745,1000
8201,139,1000
8202,3059,1000
8203,1307,1000
8204,4008,1000
8205,577,1000
8206,3789,1000
8207,4592,1000
8208,2329,1000
8209,1964,997
8210,577,1000
8211,431,1000
8212,2986,1000
8213,-80,1000
8214,2694,1000
8215,1088,1000
8216,4811,1000
8217,3935,1000
8218,1307,1000
8219,2913,1000
8220,2840,1000
8221,-226,884
8222,650,1000
8223,1672,1000
8224,1234,1000
8225,1964,1000
8226,2840,1000
8227,2329,1000
8228,2475,1000
8229,1964,1000
8230,4300,1000
8231,3935,1000
8232,5103,1000
8233,2110,1000
8234,139,533
8235,5687,1000
8236,1234,1000
8237,5176,1000
8238,2986,1000
8239,1526,1000
8240,1672,1000
8241,2110,1000
8242,504,1000
8243,3205,1000
8244,2475,1000
8245,5030,1000
8246,1599,1000
8247,1526,1000
8248,3935,1000
8249,2840,1000
8250,-226,983
8251,66,1000
8252,4738,1000
8253,-153,769
8254,4373,1000
8255,3278,1000
8256,1745,1000
8257,3132,1000
8258,723,699
8259,285,886
8260,1745,1000
8261,3789,1000
8262,577,1000
8263,504,1000
8264,723,815
8265,1818,1000
8266,431,1000
8267,1307,1000
8268,3059,1000
8269,1891,1000
8270,6344,1000
8271,723,1000
8272,2475,1000
8273,139,542
8274,2548,1000
8275,2694,972
8276,2110,1000
8277,796,1000
8278,3789,1000
8279,1015,1000
8280,3570,1000
8281,869,609
8282,2183,1000
8283,1453,763
8284,796,1000
8285,2402,1000
8286,2621,1000
8287,-445,593
8288,5468,1000
8289,4592,1000
8290,650,510
8291,3497,1000
8292,796,1000
8293,2402,1000
8294,3205,1000
8295,2767,1000
8296,5176,1000
8297,1307,1000
8298,3424,1000
8299,4373,1000
8300,66,688
8301,2767,1000
8302,5614,1000
8303,1380,1000
8304,2256,1000
8305,66,844
8306,1380,1000
8307,1307,1000
8308,1088,1000
8309,3643,1000
8310,2913,1000
8311,2329,1000
8312,2329,1000
8313,2621,1000
8314,1599,1000
8315,1453,809
8316,4519,1000
8317,3278,1000
8318,577,1000
8319,4738,1000
8320,5687,1000
8321,2913,1000
8322,358,1000
8323,4665,1000
8324,5541,1000
8325,212,622
8326,2986,1000
8327,3132,1000
8328,2110,1000
8329,2913,1000
8330,3935,1000
8331,4592,1000
8332,2110,1000
8333,577,895
8334,2110,1000
8335,723,1000
8336,1161,1000
8337,2110,1000
8338,3789,1000
8339,285,1000
8340,1088,1000
8341,3789,1000
8342,-591,1000
8343,3059,1000
8344,1964,1000
8345,4008,1000
8346,2767,1000
8347,723,769
8348,4519,1000
8349,2840,1000
8350,5979,1000
8351,7366,1000
8352,3862,1000
8353,1964,1000
8354,2621,1000
8355,3205,1000
8356,1526,1000
8357,3278,1000
8358,2402,1000
8359,2183,1000
8360,4008,1000
8361,5468,1000
8362,2840,1000
8363,2913,1000
8364,2256,1000
8365,1088,833
8366,650,710
8367,431,1000
8368,1964,1000
8369,1891,1000
8370,3205,1000
8371,1599,1000
8372,4008,1000
8373,3789,1000
8374,2402,1000
8375,1161,1000
8376,1526,1000
8377,3935,1000
8378,2256,1000
8379,66,1000
8380,1964,1000
8381,3059,1000
8382,1526,1000
8383,1015,1000
8384,2110,1000
8385,942,1000
8386,212,756
8387,869,1000
8388,2183,1000
8389,4665,1000
8390,2621,1000
8391,2402,1000
8392,1891,1000
8393,2694,1000
8394,3570,1000
8395,-226,1000
8396,1307,1000
8397,-7,559
8398,139,700
8399,1526,1000
8400,1745,1000
8401,942,1000
8402,3132,1000
8403,5395,1000
8404,577,1000
8405,1380,1000
8406,1964,1000
8407,1453,1000
8408,358,905
8409,2183,1000
8410,5687,1000
8411,1234,791
8412,-591,1000
8413,4811,1000
8414,3059,1000
8415,5030,1000
8416,1818,1000
8417,1599,894
8418,1234,1000
8419,2037,1000
8420,1964,1000
8421,2256,1000
8422,2402,1000
8423,5614,1000
8424,2767,1000
8425,431,1000
8426,942,1000
8427,2183,1000
8428,-445,789
8429,139,423
8430,2183,1000
8431,1964,1000
8432,504,985
8433,650,1000
8434,5249,1000
8435,504,1000
8436,2256,1000
8437,-956,475
8438,-80,1000
8439,1599,1000
8440,3643,1000
8441,4738,1000
8442,4081,1000
8443,2256,1000
8444,3862,1000
8445,5030,1000
8446,796,1000
8447,1891,1000
8448,358,1000
8449,-153,1000
8450,4227,1000
8451,1088,1000
8452,5103,1000
8453,3789,1000
8454,2986,1000
8455,285,562
8456,2329,1000
8457,4519,1000
8458,1234,1000
8459,3278,1000
8460,1307,1000
8461,2402,1000
8462,2402,1000
8463,723,1000
8464,1307,1000
8465,3132,1000
8466,4154,1000
8467,1088,1000
8468,1307,1000
8469,3205,1000
8470,504,664
8471,1234,1000
8472,5322,1000
8473,2548,1000
